Id,TypeId,Title
1,1,Abyssinian
2,1,Aegean
3,1,American Bobtail
4,1,American Curl
5,1,American Shorthair
6,1,American Wirehair
7,1,Arabian Mau
8,1,Asian
9,1,Australian Mist
10,1,Balinese
11,1,Bambino
12,1,Bengal
13,1,Birman
14,1,Bombay
15,1,Brazilian Shorthair
16,1,British Longhair
17,1,British Shorthair
18,1,Burmese
19,1,Burmilla
20,1,California Spangled
21,1,Ceylon
22,1,Chantilly-Tiffany
23,1,Chartreux
24,1,Chausie
25,1,Colorpoint Shorthair
26,1,Cornish Rex
27,1,Cymric
28,1,Devon Rex
29,1,Donskoy
30,1,Dragon Li
31,1,Dwelf
32,1,Egyptian Mau
33,1,European Shorthair
34,1,Exotic Shorthair
35,1,Foldex
36,1,German Rex
37,1,Havana Brown
38,1,Highlander
39,1,Himalayan
40,1,Japanese Bobtail
41,1,Javanese
42,1,Khao Manee
43,1,Korat
44,1,Kurilian Bobtail
45,1,LaPerm
46,1,Maine Coon
47,1,Manx
48,1,Mekong Bobtail
49,1,Minskin
50,1,Munchkin
51,1,Nebelung
52,1,Norwegian Forest Cat
53,1,Ocicat
54,1,Ojos Azules
55,1,Oriental Bicolor
56,1,Oriental Longhair
57,1,Oriental Shorthair
58,1,Persian
59,1,Peterbald
60,1,Pixie-Bob
61,1,Raas
62,1,Ragamuffin
63,1,Ragdoll
64,1,Russian Blue
65,1,Russian White
66,1,Russian Black
67,1,Savannah
68,1,Scottish Fold
69,1,Selkirk Rex
70,1,Serengeti
71,1,Serrade Petit
72,1,Siamese
73,1,Siberian
74,1,Singapura
75,1,Snowshoe
76,1,Sokoke
77,1,Somali
78,1,Sphynx
79,1,Suphalak
80,1,Thai
81,1,Thai Lilac
82,1,Tonkinese
83,1,Toyger
84,1,Turkish Angora
85,1,Turkish Van
86,1,Ukrainian Levkoy
87,1,York Chocolate
88,2,Affenpinscher
89,2,Afghan Hound
90,2,Airedale Terrier
91,2,Akita
92,2,Alaskan Malamute
93,2,American English Coonhound
94,2,American Eskimo Dog
95,2,American Foxhound
96,2,American Hairless Terrier
97,2,American Leopard Hound
98,2,American Staffordshire Terrier
99,2,American Water Spaniel
100,2,Anatolian Shepherd Dog
101,2,Appenzeller Sennenhunde
102,2,Australian Cattle Dog
103,2,Australian Kelpie
104,2,Australian Shepherd
105,2,Australian Terrier
106,2,Azawakh
107,2,Barbet
108,2,Basenji
109,2,Basset Fauve de Bretagne
110,2,Basset Hound
111,2,Bavarian Mountain Scent Hound
112,2,Beagle
113,2,Bearded Collie
114,2,Beauceron
115,2,Bedlington Terrier
116,2,Belgian Laekenois
117,2,Belgian Malinois
118,2,Belgian Sheepdog
119,2,Belgian Tervuren
120,2,Bergamasco
121,2,Berger Picard
122,2,Bernese Mountain Dog
123,2,Bichon Frise
124,2,Biewer Terrier
125,2,Black and Tan Coonhound
126,2,Black Russian Terrier
127,2,Bloodhound
128,2,Bluetick Coonhound
129,2,Boerboel
130,2,Bolognese
131,2,Border Collie
